siteid,sensor_position,namedLocation
ARIK,102,ARIK.AOS.S2
BARC,103,BARC.AOS.buoy.c0
BIGC,102,BIGC.AOS.S2
BLDE,102,BLDE.AOS.S2
BLUE,112,BLUE.AOS.S2
BLWA,103,BLWA.AOS.buoy.c0
CARI,102,CARI.AOS.S2
COMO,102,COMO.AOS.S2
CRAM,103,CRAM.AOS.buoy.c1
CUPE,102,CUPE.AOS.S2
FLNT,103,FLNT.AOS.buoy.c0
GUIL,102,GUIL.AOS.S2
HOPB,102,HOPB.AOS.S2
HOPB,111,
HOPB,112,HOPB.AOS.S2
KING,102,KING.AOS.S2
LECO,102,LECO.AOS.S2
LECO,112,LECO.AOS.S2
LEWI,102,LEWI.AOS.S2
LIRO,103,LIRO.AOS.buoy.c1
MART,102,MART.AOS.S2
MAYF,102,MAYF.AOS.S2
MCDI,102,MCDI.AOS.S2
MCRA,102,MCRA.AOS.S2
OKSR,102,OKSR.AOS.S2
POSE,102,POSE.AOS.S2
PRIN,102,PRIN.AOS.S2
PRLA,103,PRLA.AOS.buoy.c0
PRPO,103,PRPO.AOS.buoy.c0
REDB,102,REDB.AOS.S2
SUGG,103,SUGG.AOS.buoy.c0
SYCA,102,SYCA.AOS.S2
TECR,102,TECR.AOS.S2
TOMB,103,TOMB.AOS.buoy.c0
TOOK,103,TOOK.AOS.buoy.c0
WALK,102,WALK.AOS.S2
WLOU,102,WLOU.AOS.S2